hero_id,InitialStrength,Strengthgain,InitialIntelligence,Intelligencegain,InitialAgility,Agilitygain,avg_hero_damage,avg_tower_damage,avg_hero_healing,avg_assists,avg_deaths,avg_GMP,avg_last_hits,avg_gold_difference,avg_duration,avg_win_rate_percent
1,23,1.3,12,1.8,22,2.8,20397.66037,5693.366701,11.25280899,7.598569969,5.370275792,628.4831461,363.9305414,628.4831461,2335.07048,0.53
2,25,2.8,18,1.6,20,2.2,22683.40559,906.1129944,21.90187333,12.3264942,8.974427594,433.9622361,161.1338091,433.9622361,2356.71127,0.53
3,23,2.4,23,2.4,23,2.4,10665.6848,399.6135084,122.2016886,14.53658537,8.787054409,278.1397749,32.79174484,278.1397749,2321.363039,0.5
4,24,2.7,18,1.7,24,3,26387.9211,3565.511058,622.8565451,11.62104005,7.871488344,540.7172744,244.4309623,540.7172744,2357.603706,0.52
5,18,2.2,14,2.9,16,1.6,14318.62451,374.3159258,158.8221839,16.81096245,9.684937419,345.9974104,66.5873975,345.9974104,2392.180406,0.53
6,17,1.9,15,1.4,23,2.2,17936.48389,5501.360486,15.95379939,12.04255319,7.536778116,506.0705167,241.2765957,506.0705167,2329.107599,0.51
7,22,3.2,16,1.8,12,1.4,17924.37354,658.1365774,62.39644245,15.72664077,8.468411368,358.5495809,100.5959926,358.5495809,2420.432836,0.5
8,21,2.2,14,1.4,36,2.4,23499.39121,4836.77154,6960.809399,10.35204526,6.279373368,565.8872933,291.1305483,565.8872933,2361.035683,0.5
9,18,2.2,17,1.7,18,3.2,20881.91223,2486.269068,72.10714286,15.51301453,7.052058111,452.5535714,186.7720944,452.5535714,2429.74546,0.49
10,20,2.3,13,1.1,24,3.7,23944.304,5530.987592,134.6384659,8.54427524,6.524534687,548.3519459,257.1325437,548.3519459,2320.588832,0.48
11,16,2.3,18,2,20,2.9,26325.47027,3578.090767,40.69248826,9.956964006,7.630672926,564.2543036,299.0516432,564.2543036,2390.577465,0.44
12,19,2,19,2,29,2.6,21777.91889,3982.429382,9.845150312,9.830402723,6.22688599,534.0198525,276.1384005,534.0198525,2390.611458,0.48
13,17,2.2,23,2.4,22,1.7,21760.83265,1215.44898,72.55102041,13.96734694,8.481632653,465.9102041,190.1102041,465.9102041,2432.477551,0.43
14,25,3.5,14,1.5,14,1.5,18108.09737,459.9073482,406.9206834,16.04028337,10.03111543,355.9095708,63.42825392,355.9095708,2393.339075,0.5
15,22,2.6,21,1.8,22,1.8,23942.90132,2591.519737,27.88815789,12.71710526,8.947368421,466.9605263,205.6973684,466.9605263,2428.888158,0.45
16,22,2.9,16,1.8,19,2.1,14987.42119,289.3979328,73.24806202,15.21705426,9.640826873,351.7312661,112.2687339,351.7312661,2401.335917,0.41
17,21,2,22,3,22,1.5,30617.27065,1329.305487,41.16646116,11.51726264,7.509556104,531.1800247,255.547164,531.1800247,2439.609433,0.48
18,23,3,16,1.3,21,2,26593.67048,4171.489524,21.56571429,10.50285714,6.691428571,552.7085714,293.8895238,552.7085714,2404.388571,0.48
19,30,3.6,17,1.6,0,0,22426.11172,2545.420341,71.52905812,11.04509018,7.225450902,433.3867735,153.3712425,433.3867735,2282.203407,0.46
20,19,2.9,13,1.5,27,3.3,14771.4055,781.9003436,338.1065292,17.40721649,9.778350515,309.1494845,60.48367698,309.1494845,2354.674399,0.51
21,17,3,18,2.6,17,1.4,22074.11224,2126.459975,90.84413384,12.83142736,7.921219822,425.3727234,155.073274,425.3727234,2442.238458,0.47
22,21,2.1,20,2.7,11,1.2,40908.50431,389.1326384,99.02983465,18.66786485,7.475197699,443.6376707,172.8306973,443.6376707,2458.977714,0.54
23,24,3.3,18,1.5,14,1.3,21807.43627,1405.584851,214.0422433,15.01747997,7.616168973,437.5571741,185.8106336,437.5571741,2460.911872,0.45
25,20,2,28,3.2,16,1.5,24512.83964,3045.869611,62.6661409,9.180336488,8.289695058,503.1356467,226.5015773,503.1356467,2403.435857,0.42
26,18,2.2,18,3,15,1.5,10155.89355,306.3485159,93.88996929,14.8986694,10.15250768,306.6171955,40.78863869,306.6171955,2415.814227,0.48
27,23,2.3,21,3,16,1.6,13041.81172,3221.925016,113.21611,15.41846758,10.94728225,340.4292731,84.043222,340.4292731,2374.067453,0.54
28,21,3.1,15,1.5,17,2.4,12098.83333,674.3095238,68.86904762,15.55714286,8.773809524,335.8690476,91.03333333,335.8690476,2404.628571,0.5
29,22,3.3,16,1.7,15,1.5,16990.02821,737.5205128,1620.864103,16.6974359,7.623076923,370.7384615,135.4923077,370.7384615,2416.228205,0.5
30,18,2.3,22,2.9,13,1.4,14025.11603,506.1830144,3781.819378,14.07177033,10.67344498,319.7511962,46.84330144,319.7511962,2437.970096,0.44
31,20,2.1,20,3.6,15,2,16824.24058,665.0303541,447.7796515,16.33783024,8.394041596,332.7020798,60.53063519,332.7020798,2400.128162,0.53
32,18,1.9,14,1.3,30,2.2,21286.5683,667.9567331,33.87311619,13.61400097,8.382596014,379.9513855,92.42245989,379.9513855,2407.418571,0.52
33,21,2.5,18,3.4,14,1,20548.948,2930.96533,832.6619718,14.90790899,7.722643554,468.6793066,186.396533,468.6793066,2386.881907,0.5
34,17,2.5,28,2.2,13,1.2,42646.96744,124.6223036,259.8237688,12.21815222,7.273097273,550.5140415,293.8286528,550.5140415,2507.777371,0.49
35,17,1.7,15,2.6,21,2.7,32472.19843,3586.545098,15.02745098,12.79215686,7.649411765,544.3584314,275.2494118,544.3584314,2513.77098,0.47
36,18,2.8,20,2.5,12,1.3,25344.4202,1795.24901,4497.803056,12.04725523,7.875212224,469.9173741,195.336163,469.9173741,2341.96378,0.53
37,24,3,22,2.7,10,1,16942.30377,1277.198448,6143.569845,15.32039911,8.361419069,319.5155211,73.01662971,319.5155211,2351.356984,0.51
38,23,2.5,16,1.9,18,1.6,17383.4359,2467.128205,222.4188034,12.96581197,8.641025641,420.7521368,161.9230769,420.7521368,2285.931624,0.43
39,18,2.3,22,2.5,18,2,26433.04339,1930.490702,117.2789256,11.84607438,7.284090909,486.982438,208.5330579,486.982438,2402.989669,0.45
