hero_id,InitialStrength,Strengthgain,InitialIntelligence,Intelligencegain,InitialAgility,Agilitygain,avg_hero_damage,avg_tower_damage,avg_hero_healing,avg_assists,avg_deaths,avg_GMP,avg_last_hits,avg_gold_difference,avg_duration,avg_win_rate_percent
1,23,1.3,12,1.8,22,2.8,18413.88716,3368.326848,93.42801556,7.972762646,7.809338521,502.4319066,273.5992218,502.4319066,2584.797665,0.49
2,25,2.8,18,1.6,20,2.2,29247.49227,1063.18543,23.98675497,13.69757174,10.68874172,426.4591611,146.9735099,426.4591611,2636.490066,0.53
3,23,2.4,23,2.4,23,2.4,13330.07143,536.3285714,193.8,12.64285714,10.02857143,297.5,53.85714286,297.5,2550.771429,0.35
4,24,2.7,18,1.7,24,3,26840.75869,2678.552124,265.8359073,11.44401544,10.45366795,479.6814672,179.2258687,479.6814672,2564.803089,0.53
5,18,2.2,14,2.9,16,1.6,17775.6616,709.5627376,129.7186312,17.18250951,10.50570342,369.9619772,76.47148289,369.9619772,2556.840304,0.61
6,17,1.9,15,1.4,23,2.2,18295.04773,3909.647727,21.61136364,11.51818182,9.836363636,426.7477273,168.8,426.7477273,2527.443182,0.52
7,22,3.2,16,1.8,12,1.4,22039.58562,758.2842466,93.26027397,15.67123288,10.02739726,364,100.4417808,364,2643.054795,0.5
8,21,2.2,14,1.4,36,2.4,19643.35317,2403.321429,3445.742063,9.785714286,8.928571429,450.8412698,199.547619,450.8412698,2472.503968,0.52
9,18,2.2,17,1.7,18,3.2,22291.21782,2020.792079,71.08910891,17.91089109,9,410.3762376,169.7128713,410.3762376,2827.29703,0.46
10,20,2.3,13,1.1,24,3.7,23184.68103,4118.103448,77.64655172,8.974137931,7.482758621,475.4482759,178.1293103,475.4482759,2472.137931,0.52
11,16,2.3,18,2,20,2.9,24440.38674,3031.127072,16.99447514,10.52486188,9.861878453,469.4530387,210.1767956,469.4530387,2580.98895,0.46
12,19,2,19,2,29,2.6,20361.43922,2316.839216,58.38823529,10.30588235,8.694117647,436.627451,186.7960784,436.627451,2582.45098,0.5
13,17,2.2,23,2.4,22,1.7,16623.74194,735.0645161,24.77419355,12.16129032,10.58064516,387.1290323,127.6774194,387.1290323,2580.580645,0.29
14,25,3.5,14,1.5,14,1.5,21462.16545,549.4978038,204.4919473,14.88872621,10.47437775,374.8052709,70.09077599,374.8052709,2560.841874,0.49
15,22,2.6,21,1.8,22,1.8,20312.44444,1849.351852,16.59259259,11.46296296,11.09259259,381.9444444,132.9259259,381.9444444,2509.962963,0.4
16,22,2.9,16,1.8,19,2.1,17657,483.75,110.8571429,13.60714286,9.678571429,345.375,112.75,345.375,2438.482143,0.46
17,21,2,22,3,22,1.5,27494.55185,1108.840741,23.52222222,12.5037037,8.8,447.4740741,172.8851852,447.4740741,2616.540741,0.5
18,23,3,16,1.3,21,2,26802.54146,2722.912195,31.96097561,12.04878049,10.16585366,446.7121951,192.4292683,446.7121951,2615.770732,0.53
19,30,3.6,17,1.6,0,0,22052.93023,2079.22093,52.44186047,11.24418605,8.906976744,379,130,379,2598.418605,0.51
20,19,2.9,13,1.5,27,3.3,22878.08571,1898.485714,123.1928571,15.42142857,10.90714286,387.9142857,120.6642857,387.9142857,2644.6,0.51
21,17,3,18,2.6,17,1.4,23696.5298,2284.161148,32.97571744,12.65783664,8.958057395,413.9249448,139.0551876,413.9249448,2634.969095,0.49
22,21,2.1,20,2.7,11,1.2,39705.87629,435.0996564,40.5257732,18.06185567,9.243986254,393.0756014,121.8453608,393.0756014,2634.85567,0.49
23,24,3.3,18,1.5,14,1.3,24324.11429,1577.392857,47.31428571,11.95,9.135714286,434.9071429,195.7,434.9071429,2654.928571,0.45
25,20,2,28,3.2,16,1.5,21784.93194,2013.73822,32.46596859,9.502617801,10.77486911,414.5863874,151.7068063,414.5863874,2653.073298,0.43
26,18,2.2,18,3,15,1.5,13712.02151,662.9784946,75.56989247,13.82258065,10.5483871,317.1989247,56.74731183,317.1989247,2549.967742,0.47
27,23,2.3,21,3,16,1.6,14819.81679,3315.625954,129.0636132,14.40203562,11.86259542,352.5445293,96.41475827,352.5445293,2513.541985,0.5
28,21,3.1,15,1.5,17,2.4,17289.61798,1013.483146,44.26966292,13.96629213,9.730337079,367.3146067,121.3820225,367.3146067,2655.382022,0.43
29,22,3.3,16,1.7,15,1.5,18007.21739,777.3478261,514.7246377,16.27536232,8.869565217,348.1449275,116.5217391,348.1449275,2674.492754,0.46
30,18,2.3,22,2.9,13,1.4,17784.69925,742.8120301,3274.443609,13.86466165,10.47368421,345.112782,64.79699248,345.112782,2649.969925,0.5
31,20,2.1,20,3.6,15,2,22572.424,1019.776,442.992,15.688,9.496,361.784,80.28,361.784,2591.792,0.49
32,18,1.9,14,1.3,30,2.2,27276.0853,859.9147005,28.82395644,13.35208711,7.79491833,403.508167,89.78584392,403.508167,2611.591652,0.54
33,21,2.5,18,3.4,14,1,21950.33929,2441.196429,367.2321429,16.28571429,9.607142857,425.8928571,166.8392857,425.8928571,2747.339286,0.51
34,17,2.5,28,2.2,13,1.2,35526.17476,261.3932039,69.06796117,11.7815534,7.883495146,440.3592233,178.0048544,440.3592233,2635.349515,0.42
35,17,1.7,15,2.6,21,2.7,30148.66456,2816.099622,16.18915511,12.66456494,9.707440101,467.8814628,203.7818411,467.8814628,2676.075662,0.47
36,18,2.8,20,2.5,12,1.3,26849.9272,1524.697318,3966.666667,13.35249042,8.83908046,422.651341,143.7011494,422.651341,2601.574713,0.61
